layer,category_1_narrative_vs_process,category_2_bounded_vs_unbounded,category_3_stakes_vs_functional,category_4_observer_vs_no_self
0,0.940884,0.925373,0.958749,0.722098
4,0.944459,0.933182,0.960456,0.719546
8,0.953652,0.938262,0.966021,0.783699
12,0.952994,0.935404,0.966725,0.783533
16,0.948200,0.926859,0.963356,0.785918
20,0.948669,0.926729,0.963639,0.784906
24,0.942290,0.922780,0.960504,0.775267
28,0.933242,0.915107,0.953010,0.749730
32,0.917401,0.897955,0.943683,0.741060
36,0.894883,0.876036,0.928377,0.702838
40,0.885221,0.862368,0.918674,0.686414
44,0.890450,0.871860,0.923163,0.689642
48,0.903590,0.885154,0.934794,0.700520
52,0.919035,0.901422,0.946611,0.719358
56,0.923542,0.908257,0.949497,0.726971
60,0.931941,0.919349,0.955774,0.741025
64,0.929846,0.919493,0.954489,0.741606
68,0.929868,0.923549,0.953593,0.747734
72,0.932016,0.924570,0.956201,0.750877
76,0.942020,0.935654,0.964625,0.770847
79,0.925854,0.921338,0.957334,0.740903
