layer,category_1_narrative_vs_process,category_2_bounded_vs_unbounded,category_3_stakes_vs_functional,category_4_observer_vs_no_self
0,0.888479,0.869806,0.894805,0.625615
4,0.894356,0.882089,0.900846,0.624588
8,0.911885,0.894829,0.914858,0.704563
12,0.910088,0.890216,0.916547,0.705350
16,0.901523,0.875381,0.908065,0.707167
20,0.903253,0.875592,0.907340,0.706138
24,0.891491,0.868720,0.900262,0.689292
28,0.874562,0.854355,0.882377,0.651483
32,0.845947,0.825258,0.861014,0.628874
36,0.804944,0.786716,0.824845,0.562943
40,0.786577,0.764206,0.801674,0.532321
44,0.796737,0.779886,0.812232,0.540078
48,0.820682,0.804550,0.837999,0.563157
52,0.849041,0.832975,0.865600,0.598722
56,0.857299,0.844691,0.872872,0.611140
60,0.873053,0.863381,0.888133,0.635120
64,0.869120,0.862522,0.886360,0.634884
68,0.869732,0.868783,0.884973,0.642352
72,0.873826,0.870695,0.890503,0.649082
76,0.892140,0.890246,0.910148,0.683048
79,0.862311,0.863940,0.893076,0.637817
